name,attempts,successes,success_pct,median_ms,blob_bytes,fragments,loss_pct,predicted_pct
naive,100,100,100.0,0.007167000035224191,10842,8,0,100.0
hybrid,100,100,100.0,0.12474999999767533,10842,0,0,100.0
naive,100,75,75.0,0.054499999976087565,10842,8,5,66.34204312890623
hybrid,100,100,100.0,0.2232080000226233,10842,0,5,100.0
naive,100,39,39.0,0.12108300001045791,10842,8,10,43.04672100000001
hybrid,100,100,100.0,0.31300000000555883,10842,0,10,100.0
naive,100,19,19.0,0.1555420000158847,10842,8,20,16.77721600000001
hybrid,100,99,99.0,420.75262499997734,10842,0,20,100.0
naive,100,2,2.0,0.7228329999406924,10842,8,30,5.764800999999997
hybrid,100,83,83.0,1019.6263340000087,10842,0,30,100.0
