name,loss_pct,delay_ms,ttfb_ms,voice_delay_ms,voice_jitter_ms,voice_loss_pct,mos
hybrid,0,20,55.996,10.152,0.0,0.0,4.3839311798739935
tcp,0,20,55.996,10.17,0.001,0.0,4.383920904401836
quic,0,20,19.748,10.152,0.0,0.0,4.3839311798739935
hybrid,0,50,130.996,25.152,0.0,0.0,4.376119926094589
tcp,0,50,130.996,25.17,0.001,0.0,4.37610937162012
quic,0,50,34.748,25.152,0.0,0.0,4.376119926094589
hybrid,0,100,255.996,50.152,0.0,0.0,4.362639308001788
tcp,0,100,255.996,50.17,0.001,0.0,4.36262829432955
quic,0,100,59.748,50.152,0.0,0.0,4.362639308001788
hybrid,0,200,505.996,100.152,0.0,0.0,4.333978749289467
tcp,0,200,505.996,100.17,0.001,0.0,4.3339668389944865
quic,0,200,109.748,100.152,0.0,0.0,4.333978749289467
